Team,Gold,Silver,Bronze,Total,Rank by total
China,24,14,13,51,2
USA,20,23,16,59,1
Japan,17,5,9,31,5
Australia,14,3,14,31,5
ROC,12,19,13,44,3
Britain,10,10,12,32,4
France,5,10,6,21,8
Korea,5,4,8,17,10
Italy,4,8,15,27,7
Netherlands,4,7,6,17,10
Germany,4,4,11,19,9
New Zealand,4,3,4,11,14
Czech Republic,4,3,1,8,17
Canada,3,4,7,14,12
Switzerland,3,4,5,12,13
Croatia,3,2,2,7,18
Chinese Taipei,2,4,4,10,15
Brazil,2,3,5,10,15
Hungary,2,2,2,6,20
Slovenia,2,1,1,4,24
Ecuador,2,0,0,2,44
Kosovo,2,0,0,2,44
Qatar,2,0,0,2,44
Spain,1,3,3,7,18
Georgia,1,3,1,5,22
Romania,1,3,0,4,24
Sweden,1,3,0,4,24
Venezuela,1,3,0,4,24
"Hong Kong, China",1,2,0,3,30
South Africa,1,2,0,3,30
Slovakia,1,2,0,3,30
Austria,1,1,3,5,22
Denmark,1,1,2,4,24
Serbia,1,1,2,4,24
Belgium,1,1,1,3,30
Jamaica,1,1,1,3,30
Norway,1,1,1,3,30
Poland,1,1,0,2,44
Tunisia,1,1,0,2,44
Ireland,1,0,2,3,30
Israel,1,,2,3,30
Turkey,1,0,2,3,30
Belarus,1,0,1,2,44
Estonia,1,0,1,2,44
Fiji,1,0,1,2,44
Uzbekistan,1,0,1,2,44
Bermuda,1,0,0,1,61
Ethiopia,1,0,0,1,61
Greece,1,0,0,1,61
Islamic Republic of Iran,1,0,0,1,61
Latvia,1,0,0,1,61
Philippines,1,0,0,1,61
Thailand,1,0,0,1,61
Colombia,0,2,1,3,30
Dominican Republic,0,2,0,2,44
Ukraine,0,1,5,6,20
Indonesia,0,1,2,3,30
Mongolia,0,1,2,3,30
Cuba,0,1,1,2,44
India,0,1,1,2,44
Portugal,0,1,1,2,44
San Marino,0,1,1,2,44
Uganda,0,1,1,2,44
Bulgaria,0,1,0,1,61
Jordan,0,1,0,1,61
North Macedonia,0,1,0,1,61
Turkmenistan,0,1,0,1,61
Kazakhstan,0,0,3,3,30
Mexico,0,0,3,3,30
Azerbaijan,0,0,2,2,44
Egypt,0,0,2,2,44
Argentina,0,0,1,1,61
Côte d'Ivoire,0,0,1,1,61
Finland,0,0,1,1,61
Kuwait,0,0,1,1,61
Malaysia,0,0,1,1,61
